Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls1,Ast1,G+A1,G-PK1,G+A-PK,xG1,xAG1,xG+xAG,npxG1,npxG+xAG1
246,Kobbie Mainoo,MF,England,18,2005,6,4,368,4.1,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,6,13,13,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08
247,Lovro Majer,"FW,MF",Croatia,26,1998,3,2,146,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,4,11,10,0.00,0.00,0.00,0.00,0.00,0.11,0.20,0.31,0.11,0.31
248,Donyell Malen,FW,Netherlands,25,1999,4,2,190,2.1,2,0,2,2,0,0,1,0,1.9,1.9,0.2,2.1,12,7,24,0.95,0.00,0.95,0.95,0.95,0.89,0.11,1.00,0.89,1.00
249,Ruslan Malinovskyi,MF,Ukraine,30,1993,3,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,1,4,0,0.00,0.00,0.00,0.00,0.00,0.19,0.71,0.90,0.19,0.90
250,Giorgi Mamardashvili,GK,Georgia,23,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
251,Dennis Man,MF,Romania,25,1998,4,3,266,3.0,0,2,2,0,0,0,0,0,0.3,0.3,1.0,1.3,5,5,19,0.00,0.68,0.68,0.00,0.68,0.11,0.32,0.43,0.11,0.43
252,Rey Manaj,FW,Albania,26,1997,3,2,156,1.7,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,0,4,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21
253,Gianluca Mancini,DF,Italy,27,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
254,Orel Mangala,MF,Belgium,25,1998,4,1,133,1.5,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12
255,Marius Marin,MF,Romania,25,1998,4,4,302,3.4,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
256,Răzvan Marin,MF,Romania,27,1996,4,4,355,3.9,2,0,2,1,1,1,1,0,0.9,0.1,0.1,0.2,3,11,5,0.51,0.00,0.51,0.25,0.25,0.24,0.01,0.25,0.04,0.05
257,Ádám Martin,"FW,DF",Hungary,29,1994,3,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.00,0.18
258,Mykola Matviyenko,DF,Ukraine,27,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,7,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
259,Kylian Mbappé,FW,France,25,1998,5,5,464,5.2,1,1,2,0,1,1,1,0,2.9,2.1,0.7,2.8,28,27,55,0.19,0.19,0.39,0.00,0.19,0.57,0.13,0.69,0.41,0.54
260,John McGinn,"MF,FW",Scotland,29,1994,3,3,230,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
261,Callum McGregor,MF,Scotland,30,1993,3,3,246,2.7,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.3,0,5,3,0.00,0.37,0.37,0.00,0.37,0.05,0.05,0.10,0.05,0.10
262,Scott McKenna,DF,Scotland,27,1996,3,1,134,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
263,Kenny McLean,MF,Scotland,32,1992,3,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
264,Scott McTominay,MF,Scotland,27,1996,3,3,270,3.0,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.4,2,4,4,0.33,0.00,0.33,0.33,0.33,0.10,0.04,0.14,0.10,0.14
