right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 6,right 7,right 8,right 9,right 10,right 11,right 14,right 15,right 16,right 17,right 18,left href 3,right 19
64,Eduardo Camavinga,https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,21-244,2002,1.9,2,0,8,6,1,2,5,,0,0,1,0,0,https://fbref.com/en/players/7b9c2d84/matchlogs/2024/misc/Eduardo-Camavinga-Match-Logs,100.0
65,Andrea Cambiaso,https://fbref.com/en/players/247ed022/Andrea-Cambiaso,"FW,DF",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,24-142,2000,0.8,0,0,2,1,5,4,4,,0,0,0,0,0,https://fbref.com/en/players/247ed022/matchlogs/2024/misc/Andrea-Cambiaso-Match-Logs,
66,Emre Can,https://fbref.com/en/players/a65ce836/Emre-Can,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,30-181,1994,1.1,0,0,2,2,1,3,2,1,0,,0,0,0,https://fbref.com/en/players/a65ce836/matchlogs/2024/misc/Emre-Can-Match-Logs,0.0
67,João Cancelo,https://fbref.com/en/players/bd6351cd/Joao-Cancelo,"DF,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,30-045,1994,3.8,4,0,1,4,9,4,4,22,0,4,1,50.0,0,https://fbref.com/en/players/bd6351cd/matchlogs/2024/misc/Joao-Cancelo-Match-Logs,
68,Yannick Carrasco,https://fbref.com/en/players/de39485a/Yannick-Carrasco,"DF,FW",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,30-311,1993,2.4,0,0,2,1,1,3,2,11,0,,0,0,0,https://fbref.com/en/players/de39485a/matchlogs/2024/misc/Yannick-Carrasco-Match-Logs,
69,Dani Carvajal,https://fbref.com/en/players/4958bfb2/Dani-Carvajal,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,32-182,1992,4.2,5,0,1,1,4,3,6,6,41.7,2,3,15,7,https://fbref.com/en/players/4958bfb2/matchlogs/2024/misc/Dani-Carvajal-Match-Logs,
70,Timothy Castagne,https://fbref.com/en/players/197640fd/Timothy-Castagne,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,28-219,1995,4.0,0,0,2,5,2,1,14,5,0,37.5,3,0,0,https://fbref.com/en/players/197640fd/matchlogs/2024/misc/Timothy-Castagne-Match-Logs,
71,Koen Casteels,https://fbref.com/en/players/db401046/Koen-Casteels,GK,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,32-016,1992,4.0,0,0,6,0,,0,0,0,0,0,1,0,0,https://fbref.com/en/players/db401046/matchlogs/2024/misc/Koen-Casteels-Match-Logs,100.0
72,Žan Celar,https://fbref.com/en/players/868c6958/Zan-Celar,"FW,MF",si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-119,1999,0.7,2,0,1,2,1,1,1,,0,0,1,0,0,https://fbref.com/en/players/868c6958/matchlogs/2024/misc/Zan-Celar-Match-Logs,100.0
73,Zeki Çelik,https://fbref.com/en/players/31a62dc7/Zeki-Celik,"DF,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,27-145,1997,1.2,2,0,3,6,4,2,,0,0,0,1,0,0,https://fbref.com/en/players/31a62dc7/matchlogs/2024/misc/Zeki-Celik-Match-Logs,50.0
