right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,left href 3,right 26,right 27,right 28,right 29
400,Andraž Šporar,https://fbref.com/en/players/878f0921/Andraz-Sporar,FW,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,30-135,1994,3.8,46,69,66.7,650,97,27,36,75.0,16,23,69.6,2,3,66.7,0,0.8,0.2,-0.8,8,5,3,1,1,https://fbref.com/en/players/878f0921/matchlogs/2024/passing/Andraz-Sporar-Match-Logs,,,,
401,Nicolae Stanciu,https://fbref.com/en/players/e07c2923/Nicolae-Stanciu,"MF,FW",ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,31-065,1993,3.9,83,113,73.5,1416,405,46,54,85.2,26,32,81.3,9,19,47.4,0,0.3,0.4,-0.3,5,9,10,3,4,https://fbref.com/en/players/e07c2923/matchlogs/2024/passing/Nicolae-Stanciu-Match-Logs,,,,
402,Jindřich Staněk,https://fbref.com/en/players/eca17cf2/Jindrich-Stanek,GK,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,28-075,1996,2.6,48,75,64.0,1547,1240,13,13,100.0,14,14,100.0,21,48,43.8,0,0,0,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/eca17cf2/matchlogs/2024/passing/Jindrich-Stanek-Match-Logs,,,,
403,Josip Stanišić,https://fbref.com/en/players/7ed08d5c/Josip-Stanisic,DF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,24-100,2000,2.0,109,133,82.0,1621,334,61,66,92.4,39,45,86.7,6,14,42.9,0,0.1,1,4,2,1,0.0,0.0,8,https://fbref.com/en/players/7ed08d5c/matchlogs/2024/passing/Josip-Stanisic-Match-Logs,,,,
404,Renato Steffen,https://fbref.com/en/players/dd669209/Renato-Steffen,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,32-251,1991,2,2,31,1,1,0,1,0,0,1,,,,,,0,0,0,0.0,0.0,0.0,0.0,0,0,https://fbref.com/en/players/dd669209/matchlogs/2024/passing/Renato-Steffen-Match-Logs,100.0,100.0,100.0,0
405,Taras Stepanenko,https://fbref.com/en/players/ee3519f5/Taras-Stepanenko,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,34-338,1989,0.9,63,74,991,189,35,31,35,3,29,2,5,2,,,0,,,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/ee3519f5/matchlogs/2024/passing/Taras-Stepanenko-Match-Logs,85.1,88.6,82.9,66.7
406,Leonidas Stergiou,https://fbref.com/en/players/08391d76/Leonidas-Stergiou,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,22-130,2002,0.5,6,11,99,62,3,2,5,0,4,,,,,,0,0,0,0,0,0.0,0,0.0,0.0,https://fbref.com/en/players/08391d76/matchlogs/2024/passing/Leonidas-Stergiou-Match-Logs,54.5,66.7,80.0,0
407,Petar Stojanović,https://fbref.com/en/players/13b44b02/Petar-Stojanovic,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,28-278,1995,3.5,78,107,72.9,1318,341,41,50,82.0,28,35,80.0,8,15,53.3,0,0.2,0.2,-0.2,3,7,11,1,2,https://fbref.com/en/players/13b44b02/matchlogs/2024/passing/Petar-Stojanovic-Match-Logs,,,,
408,John Stones,https://fbref.com/en/players/5eecec3d/John-Stones,DF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,30-044,1994,6.7,495,523,94.6,9112,2630,193,200,96.5,244,249,98.0,51,64,79.7,0,0.1,1,28,18,0,0.0,0.0,0,https://fbref.com/en/players/5eecec3d/matchlogs/2024/passing/John-Stones-Match-Logs,,,,
409,Thomas Strakosha,https://fbref.com/en/players/339fe0e8/Thomas-Strakosha,GK,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,29-114,1995,3.0,65,93,69.9,2217,1760,11,11,100.0,25,26,96.2,29,55,52.7,0,0,0,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/339fe0e8/matchlogs/2024/passing/Thomas-Strakosha-Match-Logs,,,,
