right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,left href 3,right 20,right 21,right 22
56,Armando Broja,https://fbref.com/en/players/97220da2/Armando-Broja,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,22-305,2001,1.2,0,2,2,100.0,13.8,0.2,0.00,0.00,0.11,0,0,0,0.2,,,-0.2,-0.2,https://fbref.com/en/players/97220da2/matchlogs/2024/summary/Armando-Broja-Match-Logs,,1.67,1.67
57,Marcelo Brozović,https://fbref.com/en/players/33b8d077/Marcelo-Brozovic,MF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,31-238,1992,2.5,0,3,2,66.7,1.20,0.80,0.00,0.00,24.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,https://fbref.com/en/players/33b8d077/matchlogs/2024/summary/Marcelo-Brozovic-Match-Logs,,,
58,Jacob Bruun Larsen,https://fbref.com/en/players/4e204552/Jacob-Bruun-Larsen,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,25-296,1998,0.1,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/4e204552/matchlogs/2024/summary/Jacob-Bruun-Larsen-Match-Logs,0.0,,
59,Ante Budimir,https://fbref.com/en/players/8f3565b3/Ante-Budimir,FW,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,32-355,1991,1.4,0,5,3,60.0,9.3,0.5,0.00,0.00,0.10,0,0,0,0.8,,,-0.8,-0.5,https://fbref.com/en/players/8f3565b3/matchlogs/2024/summary/Ante-Budimir-Match-Logs,,3.69,2.21
60,Adam Buksa,https://fbref.com/en/players/3b676989/Adam-Buksa,FW,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,27-365,1996,1.7,0.2,3,1,33.3,0.33,1.00,0,0,12.8,0,,+0.8,1,0.2,0.05,+0.8,,https://fbref.com/en/players/3b676989/matchlogs/2024/summary/Adam-Buksa-Match-Logs,,1.81,0.60
61,Andrei Burcă,https://fbref.com/en/players/c83623e2/Andrei-Burca,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,31-087,1993,4.0,0,1,0.25,0.1,0.00,,0,0.00,,0,0,0,0.1,0.0,,-0.1,-0.1,https://fbref.com/en/players/c83623e2/matchlogs/2024/summary/Andrei-Burca-Match-Logs,,9.0,0.08
62,Riccardo Calafiori,https://fbref.com/en/players/aded8e6f/Riccardo-Calafiori,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,22-053,2002,3.0,0,3,1.00,11.1,0.3,0.10,0,0.0,,0.00,0.00,0,0.3,,0,-0.3,-0.3,https://fbref.com/en/players/aded8e6f/matchlogs/2024/summary/Riccardo-Calafiori-Match-Logs,0,,
63,Hakan Çalhanoğlu,https://fbref.com/en/players/cd0fa27b/Hakan-Calhanoglu,MF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,30-154,1994,3.9,0.4,10,2,20.0,2.54,0.51,0,0,0.10,,0.04,+0.6,1,0.50,22.4,+0.6,,https://fbref.com/en/players/cd0fa27b/matchlogs/2024/summary/Hakan-Calhanoglu-Match-Logs,1,0.4,
64,Eduardo Camavinga,https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,21-244,2002,1.9,0,2,1.07,17.2,0.3,0.14,0,0.0,,0.00,0.00,0,0.3,,0,-0.3,-0.3,https://fbref.com/en/players/7b9c2d84/matchlogs/2024/summary/Eduardo-Camavinga-Match-Logs,0,,
65,Andrea Cambiaso,https://fbref.com/en/players/247ed022/Andrea-Cambiaso,"FW,DF",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,24-142,2000,0.8,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/247ed022/matchlogs/2024/summary/Andrea-Cambiaso-Match-Logs,0.0,,
66,Emre Can,https://fbref.com/en/players/a65ce836/Emre-Can,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,30-181,1994,1.1,0.0,1,1,1.00,,23.3,0,0,0.04,0,0.0,+1.0,1,,,+1.0,,https://fbref.com/en/players/a65ce836/matchlogs/2024/summary/Emre-Can-Match-Logs,,100.0,0.88
67,João Cancelo,https://fbref.com/en/players/bd6351cd/Joao-Cancelo,"DF,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,30-045,1994,3.8,0,2,0.52,15.6,0.1,0.04,0,0.0,,0.00,0.00,0,0.1,,0,-0.1,-0.1,https://fbref.com/en/players/bd6351cd/matchlogs/2024/summary/Joao-Cancelo-Match-Logs,0,,
68,Yannick Carrasco,https://fbref.com/en/players/de39485a/Yannick-Carrasco,"DF,FW",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,30-311,1993,2.4,0,6,1,16.7,2.48,0.41,0.00,0.00,17.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,https://fbref.com/en/players/de39485a/matchlogs/2024/summary/Yannick-Carrasco-Match-Logs,,,
