right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,left href 3,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,right 28
51,Etrit Berisha,https://fbref.com/en/players/ee833569/Etrit-Berisha,GK,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,35-123,1989,0,0,0,0,3,https://fbref.com/en/players/ee833569/matchlogs/2024/summary/Etrit-Berisha-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
52,Medon Berisha,https://fbref.com/en/players/9d376bef/Medon-Berisha,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,20-264,2003,0,,0,1,21,https://fbref.com/en/players/9d376bef/matchlogs/2024/summary/Medon-Berisha-Match-Logs,21,0.2,2,1,0.2,0,0.2,0.0,,,,,,7.8,21,0.00,-0.01,0,,+1.15,,+0.72
53,Victor Bernth Kristiansen,https://fbref.com/en/players/505486d6/Victor-Bernth-Kristiansen,"DF,MF",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,21-208,2002,2.0,0.75,0,4,156,https://fbref.com/en/players/505486d6/matchlogs/2024/summary/Victor-Bernth-Kristiansen-Match-Logs,39,43.3,1.7,2,67,0,2,12,2,,,+0.88,2,+0.27,+0.03,+0.1,2.0,0,,,,
54,Matúš Bero,https://fbref.com/en/players/b5e0af76/Matus-Bero,"MF,DF",sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,28-309,1995,0,,0,2,41,https://fbref.com/en/players/b5e0af76/matchlogs/2024/summary/Matus-Bero-Match-Logs,21,0.5,2,2,2,0,1.0,0.5,,-2,,+0.5,,10.5,21,,-4.39,,-4.65,+4.12,0.50,+3.69
55,Justin Bijlow,https://fbref.com/en/players/53d93280/Justin-Bijlow,GK,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,26-171,1998,0,0,0,0,6,https://fbref.com/en/players/53d93280/matchlogs/2024/summary/Justin-Bijlow-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
56,Jaka Bijol,https://fbref.com/en/players/6fdac234/Jaka-Bijol,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-157,1999,0,3.2,0,4,390,https://fbref.com/en/players/6fdac234/matchlogs/2024/summary/Jaka-Bijol-Match-Logs,98,100.0,4.3,4,98,0,1.00,4,2,-2.9,-0.71,,2,-0.71,,,6.1,0.00,,,,
57,Daniel Birligea,https://fbref.com/en/players/591462f3/Daniel-Birligea,FW,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,24-083,2000,0,0,0,0,4,https://fbref.com/en/players/591462f3/matchlogs/2024/summary/Daniel-Birligea-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
58,Veljko Birmančević,https://fbref.com/en/players/636247ca/Veljko-Birmancevic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,26-128,1998,0,,0,2,26,https://fbref.com/en/players/636247ca/matchlogs/2024/summary/Veljko-Birmancevic-Match-Logs,13,0.3,1,2,1,0,0.4,0.2,,+1.05,+0.79,+1,,9.6,13,+0.2,,,,+4.20,0.50,+3.46
59,Miha Blažič,https://fbref.com/en/players/3cdfc63e/Miha-Blazic,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,31-064,1993,0,0,0,0,4,https://fbref.com/en/players/3cdfc63e/matchlogs/2024/summary/Miha-Blazic-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
60,Daley Blind,https://fbref.com/en/players/691bef82/Daley-Blind,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,34-124,1990,0,,0.0,1,1,https://fbref.com/en/players/691bef82/matchlogs/2024/summary/Daley-Blind-Match-Logs,1,5,1,1,,0,0.4,,,+33.14,+33.34,+1,,0.2,1,+0.4,,0,,+89.67,3.00,+90.00
61,Bendegúz Bolla,https://fbref.com/en/players/b6ca3ab3/Bendeguz-Bolla,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,24-232,1999,2.2,1.00,0,3,204,https://fbref.com/en/players/b6ca3ab3/matchlogs/2024/summary/Bendeguz-Bolla-Match-Logs,68,75.6,2.3,2,80,0,1,45,1,-2,-0.88,+0.48,3,,,+0.30,2.2,0.0,,,,
62,Valerii Bondar,https://fbref.com/en/players/7713c72a/Valerii-Bondar,DF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,25-135,1999,0,0,0,0,3,https://fbref.com/en/players/7713c72a/matchlogs/2024/summary/Valerii-Bondar-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
