right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,left href 3,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,right 28
220,Tomi Horvat,https://fbref.com/en/players/62de9d42/Tomi-Horvat,"FW,MF",si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-109,1999,0,0,0,0,4,https://fbref.com/en/players/62de9d42/matchlogs/2024/summary/Tomi-Horvat-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
221,Krisztofer Horváth,https://fbref.com/en/players/4ce8f4a3/Krisztofer-Horvath,MF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,22-185,2002,0,0,0,0,3,https://fbref.com/en/players/4ce8f4a3/matchlogs/2024/summary/Krisztofer-Horvath-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
222,Arbër Hoxha,https://fbref.com/en/players/e210a2c7/Arber-Hoxha,"FW,MF",al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,25-279,1998,0,,0,3,50,https://fbref.com/en/players/e210a2c7/matchlogs/2024/summary/Arber-Hoxha-Match-Logs,17,0.6,1,3,0.5,0,1.0,,,+2.45,+0.93,+1,,18.5,17,+0.5,,0,,+3.03,0.33,+1.80
223,Robin Hranáč,https://fbref.com/en/players/95d5aea2/Robin-Hranac,DF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,24-164,2000,0,5.1,0,3,270,https://fbref.com/en/players/95d5aea2/matchlogs/2024/summary/Robin-Hranac-Match-Logs,90,100.0,3.0,3,90,,0.33,3,3,-2,-0.67,+0.7,5,,,+0.24,4.3,,,,,
224,Patrik Hrošovský,https://fbref.com/en/players/f2d063ec/Patrik-Hrosovsky,MF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,32-080,1992,0,0,0,0,4,https://fbref.com/en/players/f2d063ec/matchlogs/2024/summary/Patrik-Hrosovsky-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
225,Elseid Hysaj,https://fbref.com/en/players/2f3452eb/Elseid-Hysaj,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,30-142,1994,0,2.0,,2,180,https://fbref.com/en/players/2f3452eb/matchlogs/2024/summary/Elseid-Hysaj-Match-Logs,90,66.7,2.0,2,90,,0.50,2,1,-1,-0.50,+0.50,3,-2.2,-1.10,-0.07,4,,4.2,,,
226,Pierre Højbjerg,https://fbref.com/en/players/8b04d6c1/Pierre-Hojbjerg,MF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,28-341,1995,0,4.3,0,4,353,https://fbref.com/en/players/8b04d6c1/matchlogs/2024/summary/Pierre-Hojbjerg-Match-Logs,88,98.1,3.9,4,88,,0.75,3,2,-2,-0.51,-0.45,4,-0.51,-0.5,-0.13,4.8,,,,,
227,Rasmus Højlund,https://fbref.com/en/players/491a433d/Rasmus-Hojlund,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,21-158,2003,0,3.5,0,4,286,https://fbref.com/en/players/491a433d/matchlogs/2024/summary/Rasmus-Hojlund-Match-Logs,72,79.4,3.2,4,72,0,0.75,2,4,-2,-0.63,-0.08,4.0,-0.63,-0.4,-0.13,,,,,,
228,Ivan Ilić,https://fbref.com/en/players/bb376bed/Ivan-Ilic,MF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,23-116,2001,1.8,0.67,0,3,201,https://fbref.com/en/players/bb376bed/matchlogs/2024/summary/Ivan-Ilic-Match-Logs,67,74.4,2.2,2,78,0,1,1,45,-0.5,-0.21,+1.30,1,-0.20,,,1,0.00,2.3,,,
229,Josip Iličić,https://fbref.com/en/players/68252d6d/Josip-Ilicic,"FW,MF",si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,36-164,1988,0,,0,2,31,https://fbref.com/en/players/68252d6d/matchlogs/2024/summary/Josip-Ilicic-Match-Logs,16,0.3,2,2,0.2,0,0.3,,,,0.00,+0.1,,7.9,16,,,0,,+1.20,1.00,+0.49
230,Gonçalo Inácio,https://fbref.com/en/players/33651873/Goncalo-Inacio,DF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,22-321,2001,28,2.8,0,2,118,https://fbref.com/en/players/33651873/matchlogs/2024/summary/Goncalo-Inacio-Match-Logs,59,1.3,1,1,3,,1,2,2,,,+1.0,1.9,23.1,90,,-0.46,,-0.20,,1.50,+0.73
231,Ardian Ismajli,https://fbref.com/en/players/6b635f5c/Ardian-Ismajli,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,27-285,1996,0,0,0,0,3,https://fbref.com/en/players/6b635f5c/matchlogs/2024/summary/Ardian-Ismajli-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
232,Luka Ivanušec,https://fbref.com/en/players/29fbdc88/Luka-Ivanusec,MF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,25-228,1998,0,0.0,0,1,21,https://fbref.com/en/players/29fbdc88/matchlogs/2024/summary/Luka-Ivanusec-Match-Logs,21,0.2,2,1,1,0,,0.3,,-1,-0.3,-1.80,,7.8,21,,-4.29,,-3.56,-1.21,1.00,
233,Ivica Ivušić,https://fbref.com/en/players/6d0a2817/Ivica-Ivusic,GK,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,29-161,1995,0,0,0.0,0,2,https://fbref.com/en/players/6d0a2817/matchlogs/2024/summary/Ivica-Ivusic-Match-Logs,2,2,,,,0,,,,,,,,,,,,0,,,1.00,
234,Ryan Jack,https://fbref.com/en/players/d97cccc9/Ryan-Jack,"DF,MF",sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,32-135,1992,0,0,0,0,3,https://fbref.com/en/players/d97cccc9/matchlogs/2024/summary/Ryan-Jack-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
235,Erik Janža,https://fbref.com/en/players/961f9f1c/Erik-Janza,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,31-020,1993,0,2.6,0,3,269,https://fbref.com/en/players/961f9f1c/matchlogs/2024/summary/Erik-Janza-Match-Logs,90,69.0,3.0,3,90,0,1.00,2,2,-1.4,-0.48,+0.58,2,,,,4.0,0.00,,,,
236,Vitezslav Jaros,https://fbref.com/en/players/12bb4d6a/Vitezslav-Jaros,GK,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,22-354,2001,0,0,0.0,0,2,https://fbref.com/en/players/12bb4d6a/matchlogs/2024/summary/Vitezslav-Jaros-Match-Logs,1,2,,,,0,,,,-1,,,,,,0.00,,,,,,
237,Ardon Jashari,https://fbref.com/en/players/889588db/Ardon-Jashari,MF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,21-347,2002,0,0,0,0,5,https://fbref.com/en/players/889588db/matchlogs/2024/summary/Ardon-Jashari-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
238,Mathias Jensen,https://fbref.com/en/players/0f134faf/Mathias-Jensen,MF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,28-192,1996,0,0,0,0,4,https://fbref.com/en/players/0f134faf/matchlogs/2024/summary/Mathias-Jensen-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
239,Jorginho,https://fbref.com/en/players/45db685d/Jorginho,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,32-204,1991,0,2.4,0,3,215,https://fbref.com/en/players/45db685d/matchlogs/2024/summary/Jorginho-Match-Logs,72,59.7,2.4,3,72,0.00,1.33,1,1,-0.01,,+1.24,2,,,+0.84,2,0.0,2.4,,,
240,Joselu,https://fbref.com/en/players/6265208f/Joselu,FW,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,34-106,1990,19,2.0,0,2,90,https://fbref.com/en/players/6265208f/matchlogs/2024/summary/Joselu-Match-Logs,45,1.0,4,1,2,0,1,0.8,,+0.96,+1.59,+2,,15.8,71,+1.3,,,,+0.50,3.00,+2.00
241,Diogo Jota,https://fbref.com/en/players/178ae8f8/Diogo-Jota,"FW,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,27-220,1996,0,,0,3,100,https://fbref.com/en/players/178ae8f8/matchlogs/2024/summary/Diogo-Jota-Match-Logs,33,1.1,2,3,2,0,3.2,0.6,,+2.88,+3.37,+2,,19.6,33,+2.6,,,,+1.80,1.33,+1.80
242,Luka Jović,https://fbref.com/en/players/4d8cd038/Luka-Jovic,"MF,FW",rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,26-201,1997,0,,0,3,102,https://fbref.com/en/players/4d8cd038/matchlogs/2024/summary/Luka-Jovic-Match-Logs,34,1.1,1,3,1,0,1.0,0.9,,,+0.50,+0.2,,37.8,34,,,0,,+0.16,0.67,+0.54
243,Josip Juranović,https://fbref.com/en/players/0a084b35/Josip-Juranovic,DF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,28-330,1995,1,2.6,,2,91,https://fbref.com/en/players/0a084b35/matchlogs/2024/summary/Josip-Juranovic-Match-Logs,46,1.0,1,1,1,,1,2,3,-1,+0.93,+1.1,1.6,33.7,90,,-0.99,,,+1.06,1.00,+0.02
244,David Jurásek,https://fbref.com/en/players/d7a03bf3/David-Jurasek,DF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,23-339,2000,0,4.6,0,2,160,https://fbref.com/en/players/d7a03bf3/matchlogs/2024/summary/David-Jurasek-Match-Logs,80,59.3,1.8,2,80,0,0.50,1,2,,,+1.64,2,+3.11,+1.50,+2.7,1.9,0.00,,,,
245,Matěj Jurásek,https://fbref.com/en/players/742ea558/Matej-Jurasek,"DF,MF",cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,20-316,2003,0,,0,2,46,https://fbref.com/en/players/742ea558/matchlogs/2024/summary/Matej-Jurasek-Match-Logs,23,0.5,1,2,1,0,1.4,1,0.7,,+1.30,+0.7,,17.0,23,,,,,+1.32,0.50,+0.80
246,Mathias Jørgensen,https://fbref.com/en/players/0db5d2c8/Mathias-Jorgensen,DF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,34-079,1990,0,0,0,0,4,https://fbref.com/en/players/0db5d2c8/matchlogs/2024/summary/Mathias-Jorgensen-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
247,Ferdi Kadioglu,https://fbref.com/en/players/66c52a77/Ferdi-Kadioglu,"DF,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,24-278,1999,0,7.3,0,5,450,https://fbref.com/en/players/66c52a77/matchlogs/2024/summary/Ferdi-Kadioglu-Match-Logs,90,100.0,5.0,5,90,0,1.80,5,8,-1.6,-0.32,,8,,,,8.9,0.00,,,,
248,İrfan Kahveci,https://fbref.com/en/players/d2800f47/Irfan-Kahveci,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,28-362,1995,0,,0,1,8,https://fbref.com/en/players/d2800f47/matchlogs/2024/summary/Irfan-Kahveci-Match-Logs,8,0.1,2,1,1.0,0,0.1,,,-0.9,0.00,,,1.8,8,,-10.16,0,-10.02,,3.00,
249,Florian Kainz,https://fbref.com/en/players/94c18565/Florian-Kainz,"FW,MF",at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,31-261,1992,0,0,0,0,4,https://fbref.com/en/players/94c18565/matchlogs/2024/summary/Florian-Kainz-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
250,Otar Kakabadze,https://fbref.com/en/players/2ea12fc4/Otar-Kakabadze,"DF,MF",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,29-014,1995,0,4.4,0,4,360,https://fbref.com/en/players/2ea12fc4/matchlogs/2024/summary/Otar-Kakabadze-Match-Logs,90,100.0,4.0,4,90,,1.00,4,5,-3,-0.75,,8,-6.9,-1.74,,11.3,,,,,
251,Thomas Kaminski,https://fbref.com/en/players/1caa93a5/Thomas-Kaminski,GK,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,31-262,1992,0,0,0,0,4,https://fbref.com/en/players/1caa93a5/matchlogs/2024/summary/Thomas-Kaminski-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
252,Harry Kane,https://fbref.com/en/players/21a66f6a/Harry-Kane,FW,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,30-349,1993,0,5.0,0,6,541,https://fbref.com/en/players/21a66f6a/matchlogs/2024/summary/Harry-Kane-Match-Logs,90,90.2,6.0,6,90,,2.00,2,6,-1.19,+1.07,+2,4,+0.14,+0.8,+0.33,4.2,,,,,
253,N'Golo Kanté,https://fbref.com/en/players/b9fbae28/NGolo-Kante,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,33-104,1991,0,8.3,0,6,511,https://fbref.com/en/players/b9fbae28/matchlogs/2024/summary/NGolo-Kante-Match-Logs,85,89.6,5.7,6,85,,1.50,4,4,+0.95,+0.74,+2,2,+4.0,+1.88,+0.35,4.3,,,,,
254,Ahmetcan Kaplan,https://fbref.com/en/players/c46366f5/Ahmetcan-Kaplan,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,21-177,2003,0,0,0,0,5,https://fbref.com/en/players/c46366f5/matchlogs/2024/summary/Ahmetcan-Kaplan-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
255,Žan Karničnik,https://fbref.com/en/players/b11b006c/Zan-Karnicnik,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,29-297,1994,0,3.2,0,4,390,https://fbref.com/en/players/b11b006c/matchlogs/2024/summary/Zan-Karnicnik-Match-Logs,98,100.0,4.3,4,98,0,1.00,4,2,-2.9,-0.71,,2,-0.71,,,6.1,0.00,,,,
256,Guram Kashia,https://fbref.com/en/players/a81f4896/Guram-Kashia,DF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,37-007,1987,0,4.4,0,4,360,https://fbref.com/en/players/a81f4896/matchlogs/2024/summary/Guram-Kashia-Match-Logs,90,100.0,4.0,4,90,,1.00,4,5,-3,-0.75,,8,-6.9,-1.74,,11.3,,,,,
257,Elhan Kastrati,https://fbref.com/en/players/241b5471/Elhan-Kastrati,GK,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,27-160,1997,0,0,0,0,3,https://fbref.com/en/players/241b5471/matchlogs/2024/summary/Elhan-Kastrati-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
258,Mihály Kata,https://fbref.com/en/players/67d08807/Mihaly-Kata,MF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,22-089,2002,0,0,0,0,3,https://fbref.com/en/players/67d08807/matchlogs/2024/summary/Mihaly-Kata-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
259,Liam Kelly,https://fbref.com/en/players/d8c74957/Liam-Kelly,GK,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,28-170,1996,0,0,0,0,3,https://fbref.com/en/players/d8c74957/matchlogs/2024/summary/Liam-Kelly-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
260,Milos Kerkez,https://fbref.com/en/players/0ad53bdc/Milos-Kerkez,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,20-247,2003,0,2.6,0,3,237,https://fbref.com/en/players/0ad53bdc/matchlogs/2024/summary/Milos-Kerkez-Match-Logs,79,87.8,2.6,3,79,0,1.00,1,4,-3,-1.14,+0.36,2.7,-1.14,-0.1,-0.03,,,,,,
261,Semih Kılıçsoy,https://fbref.com/en/players/3064f033/Semih-Kilicsoy,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,18-331,2005,0,,0.0,1,2,https://fbref.com/en/players/3064f033/matchlogs/2024/summary/Semih-Kilicsoy-Match-Logs,2,4,0.1,1,,0,0.3,0,,,0.00,+0.2,,0.4,2,0.00,,0,,+10.28,,+9.91
262,Joshua Kimmich,https://fbref.com/en/players/49296448/Joshua-Kimmich,DF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,29-154,1995,0,9.7,0,5,480,https://fbref.com/en/players/49296448/matchlogs/2024/summary/Joshua-Kimmich-Match-Logs,96,100.0,5.3,5,96,,2.00,5,11,,+1.07,+7,4,+1.07,+5.3,+1.31,4.4,,,,,
263,Otar Kiteishvili,https://fbref.com/en/players/fc9b373e/Otar-Kiteishvili,MF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,28-107,1996,0,,,2,130,https://fbref.com/en/players/fc9b373e/matchlogs/2024/summary/Otar-Kiteishvili-Match-Logs,65,1.4,1,2,2,,1.7,3,1,-1.3,+1.29,+2,3.0,36.1,65,,-0.91,,,+3.34,1.50,+1.38
264,Jakub Kiwior,https://fbref.com/en/players/dc3e663e/Jakub-Kiwior,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,24-147,2000,0,4.1,0,3,270,https://fbref.com/en/players/dc3e663e/matchlogs/2024/summary/Jakub-Kiwior-Match-Logs,90,100.0,3.0,3,90,,0.33,3,3,-3,-1.00,,6,-1.8,-0.60,,5.9,,,,,
265,Simon Kjær,https://fbref.com/en/players/8b8a56ce/Simon-Kjaer,DF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,35-107,1989,0,0,0,0,4,https://fbref.com/en/players/8b8a56ce/matchlogs/2024/summary/Simon-Kjaer-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
266,László Kleinheisler,https://fbref.com/en/players/af8e4246/Laszlo-Kleinheisler,MF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,30-094,1994,0,,0,2,51,https://fbref.com/en/players/af8e4246/matchlogs/2024/summary/Laszlo-Kleinheisler-Match-Logs,26,0.6,1,2,2,0,0.3,1.6,,-1,-1.3,-2.73,,18.9,26,,-1.76,,-0.94,-2.29,1.00,
267,Gregor Kobel,https://fbref.com/en/players/cd59b9df/Gregor-Kobel,GK,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,26-218,1997,0,0,0,0,5,https://fbref.com/en/players/cd59b9df/matchlogs/2024/summary/Gregor-Kobel-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
268,Robin Koch,https://fbref.com/en/players/ea6bc03a/Robin-Koch,"DF,MF",de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,27-360,1996,0,0,0,0,5,https://fbref.com/en/players/ea6bc03a/matchlogs/2024/summary/Robin-Koch-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
269,Giorgi Kochorashvili,https://fbref.com/en/players/3da1b6ed/Giorgi-Kochorashvili,MF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,25-012,1999,0,4.4,0,4,360,https://fbref.com/en/players/3da1b6ed/matchlogs/2024/summary/Giorgi-Kochorashvili-Match-Logs,90,100.0,4.0,4,90,,1.00,4,5,-3,-0.75,,8,-6.9,-1.74,,11.3,,,,,
270,Orkun Kökçü,https://fbref.com/en/players/9bf914b4/Orkun-Kokcu,MF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,23-195,2000,4.8,2.25,0,4,221,https://fbref.com/en/players/9bf914b4/matchlogs/2024/summary/Orkun-Kokcu-Match-Logs,55,49.1,2.5,3,72,,1,1,4,+1.19,+0.28,+2,6,+0.7,+1.60,+0.81,4,,4.1,,,
271,Randal Kolo Muani,https://fbref.com/en/players/c0b3669f/Randal-Kolo-Muani,FW,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,25-219,1998,1.9,1.60,0,5,201,https://fbref.com/en/players/c0b3669f/matchlogs/2024/summary/Randal-Kolo-Muani-Match-Logs,40,35.3,2.2,2,74,0,3,18,1,-0.24,-0.84,+0.1,2,,,+0.05,2,0.00,1.8,,,
272,Ibrahima Konaté,https://fbref.com/en/players/5ed9b537/Ibrahima-Konate,DF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,25-047,1999,0,0,0,0,6,https://fbref.com/en/players/5ed9b537/matchlogs/2024/summary/Ibrahima-Konate-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
273,Yukhym Konoplia,https://fbref.com/en/players/aee634bf/Yukhym-Konoplia,DF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,24-320,1999,0,,0,1,71,https://fbref.com/en/players/aee634bf/matchlogs/2024/summary/Yukhym-Konoplia-Match-Logs,71,0.8,2,1,3,0,0.4,1.1,,-3,-0.7,-1.34,,26.3,71,0.00,-3.80,,-4.26,-0.92,,
274,Ezri Konsa,https://fbref.com/en/players/0313a347/Ezri-Konsa,DF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,26-262,1997,8,0.4,0,3,93,https://fbref.com/en/players/0313a347/matchlogs/2024/summary/Ezri-Konsa-Match-Logs,31,1.0,3,1,1,0,2,1.3,,-1,-0.9,-1.23,,15.5,77,,-0.97,,-1.68,-1.04,2.33,
275,Sebastián Kóša,https://fbref.com/en/players/950dd6ab/Sebastian-Kosa,DF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,20-302,2003,0,0,0,0,4,https://fbref.com/en/players/950dd6ab/matchlogs/2024/summary/Sebastian-Kosa-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
276,Filip Kostić,https://fbref.com/en/players/b1cd37e6/Filip-Kostic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,31-253,1992,0,,0,1,42,https://fbref.com/en/players/b1cd37e6/matchlogs/2024/summary/Filip-Kostic-Match-Logs,42,0.5,1,1,1,0,0.1,0.3,,-1,-0.2,-0.39,,15.6,42,0.00,-2.14,,-2.14,-0.48,,
277,Jules Koundé,https://fbref.com/en/players/4d1666ff/Jules-Kounde,DF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,25-242,1998,0,9.0,0,6,570,https://fbref.com/en/players/4d1666ff/matchlogs/2024/summary/Jules-Kounde-Match-Logs,95,100.0,6.3,6,95,,1.50,6,4,,+0.63,+1,3,+0.63,+3.8,+0.16,5.2,,,,,
278,Mateo Kovačić,https://fbref.com/en/players/79c0821a/Mateo-Kovacic,MF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,30-066,1994,0,4.8,0,3,223,https://fbref.com/en/players/79c0821a/matchlogs/2024/summary/Mateo-Kovacic-Match-Logs,74,82.6,2.5,3,74,,0.67,1,3,-2,-0.81,+1.11,5,-0.65,+0.33,+0.8,4.0,,,,,
279,Matej Kovar,https://fbref.com/en/players/bc67a0e1/Matej-Kovar,GK,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,24-055,2000,0,,0,1,36,https://fbref.com/en/players/bc67a0e1/matchlogs/2024/summary/Matej-Kovar-Match-Logs,36,0.4,2,1,1,0,1.0,1,0.6,,+0.90,+0.4,,13.3,36,0.00,,,,+1.02,,+0.77
280,Andrej Kramarić,https://fbref.com/en/players/603cb947/Andrej-Kramaric,FW,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,33-022,1991,0,4.6,0,3,243,https://fbref.com/en/players/603cb947/matchlogs/2024/summary/Andrej-Kramaric-Match-Logs,81,90.0,2.7,3,81,0,0.67,3,4,-1,-0.37,+6.30,3.7,-1.19,+0.32,+0.9,,,,,,
281,Ladislav Krejčí,https://fbref.com/en/players/5b5c2228/Ladislav-Krejci,DF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,25-082,1999,0,5.1,0,3,270,https://fbref.com/en/players/5b5c2228/matchlogs/2024/summary/Ladislav-Krejci-Match-Logs,90,100.0,3.0,3,90,,0.33,3,3,-2,-0.67,+0.7,5,,,+0.24,4.3,,,,,
282,Rasmus Kristensen,https://fbref.com/en/players/39769cff/Rasmus-Kristensen,"DF,MF",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,27-000,1997,0,0,0,0,4,https://fbref.com/en/players/39769cff/matchlogs/2024/summary/Rasmus-Kristensen-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
283,Toni Kroos,https://fbref.com/en/players/6ce1f46f/Toni-Kroos,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,34-189,1990,0,9.6,0,5,469,https://fbref.com/en/players/6ce1f46f/matchlogs/2024/summary/Toni-Kroos-Match-Logs,94,97.7,5.2,5,94,,2.00,4,10,+0.92,+1.08,+7,3,+5.3,+1.34,+1.34,4.4,,,,,
284,Jan Kuchta,https://fbref.com/en/players/4bce9c16/Jan-Kuchta,FW,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,27-185,1997,36,1.1,0,2,95,https://fbref.com/en/players/4bce9c16/matchlogs/2024/summary/Jan-Kuchta-Match-Logs,48,1.1,1,1,1,0,1,1,1.6,-0.5,,,,35.2,59,0.00,-0.49,,-1.13,,,+1.03
285,Juraj Kucka,https://fbref.com/en/players/5aaef9ef/Juraj-Kucka,MF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,37-136,1987,0,3.5,0,4,350,https://fbref.com/en/players/5aaef9ef/matchlogs/2024/summary/Juraj-Kucka-Match-Logs,88,89.7,3.9,4,88,,1.00,3,4,-1.8,-0.47,+1,3,-1.48,+4.76,+0.26,5.3,,,,,
286,Marash Kumbulla,https://fbref.com/en/players/a40819d9/Marash-Kumbulla,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,24-154,2000,0,0,0,0,3,https://fbref.com/en/players/a40819d9/matchlogs/2024/summary/Marash-Kumbulla-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
287,Jasmin Kurtić,https://fbref.com/en/players/144607cc/Jasmin-Kurtic,FW,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,35-183,1989,0,0.0,0.0,1,1,https://fbref.com/en/players/144607cc/matchlogs/2024/summary/Jasmin-Kurtic-Match-Logs,1,3,0.0,1,0.0,0,0.00,0,,,0.00,,,0.3,1,,,0,,,1.00,+0.66
288,Khvicha Kvaratskhelia,https://fbref.com/en/players/dea88efd/Khvicha-Kvaratskhelia,FW,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-150,2001,0,4.1,0,4,342,https://fbref.com/en/players/dea88efd/matchlogs/2024/summary/Khvicha-Kvaratskhelia-Match-Logs,86,95.0,3.8,4,86,,1.00,2,5,-3,-0.79,+3.05,8,-0.79,-6.0,-1.58,10.2,,,,,
289,Nika Kvekveskiri,https://fbref.com/en/players/a5f35865/Nika-Kvekveskiri,MF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,32-043,1992,0,0.0,0,1,12,https://fbref.com/en/players/a5f35865/matchlogs/2024/summary/Nika-Kvekveskiri-Match-Logs,12,0.1,3,1,1,0,,1.0,,-1,-1.0,-5.61,,3.3,12,0.00,-7.50,,-6.98,-7.16,,
