Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
107,Berat Djimsiti,DF,Albania,30,1993,3.0,0,2,0,0,0.67,0.00,0.00,,14.9,0.00,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1
108,Jeremy Doku,"FW,MF",Belgium,21,2002,3.6,0,5,1,20,1.41,0.28,0.00,0.0,16.4,0.00,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2
109,Kasper Dolberg,FW,Denmark,26,1997,0.4,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
110,Gianluigi Donnarumma,GK,Italy,24,1999,4.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
111,David Doudera,FW,Czechia,25,1998,1.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
112,Artem Dovbyk,FW,Ukraine,26,1997,2.7,0,6,0,0,2.20,0.00,0.00,,14.9,0.00,0.00,0.00,0.6,0.6,0.11,-0.6,-0.6
113,Denis Drăguș,FW,Romania,24,1999,3.2,1,5,2,40,1.55,0.62,0.20,0.5,15.6,0.00,0.00,0.00,1.1,1.1,0.21,-0.1,-0.1
114,Radu Drăgușin,DF,Romania,21,2002,4.0,0,3,1,33,0.75,0.25,0.00,0.0,17.4,0.00,0.00,0.00,0.2,0.2,0.08,-0.2,-0.2
115,Vanja Drkušič,DF,Slovenia,24,1999,4.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
116,Kwadwo Duah,FW,Switzerland,26,1997,1.2,1,4,3,75,3.36,2.52,0.25,0.3,16.0,0.00,0.00,0.00,0.7,0.7,0.18,0.3,0.3
117,Martin Dúbravka,GK,Slovakia,35,1989,4.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
118,Ondrej Duda,MF,Slovakia,29,1994,3.5,1,2,1,50,0.57,0.28,0.50,1.0,15.6,0.00,0.00,0.00,0.3,0.3,0.13,0.7,0.7
119,Denzel Dumfries,DF,Netherlands,27,1996,5.0,0,4,0,0,0.80,0.00,0.00,,10.8,0.00,0.00,0.00,0.3,0.3,0.07,-0.3,-0.3
120,Dávid Ďuriš,"FW,MF",Slovakia,24,1999,0.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
